"Colony","Area","Price"
"Pratap Nagar","1500","1000000"
"Pratap Nagar","1700","1200000"
"Pratap Nagar","1850","1525000"
"Pratap Nagar","2000","1725000"
"Pratap Nagar","2150","2150000"
"Housing Board","1500","1200000"
"Housing Board","1700","1575000"
"Housing Board","1750","1700000"
"Housing Board","1850","1950000"
"Housing Board","2000","2125000"
"Meera Nagar","1500","1450000"
"Meera Nagar","1700","1650000"
"Meera Nagar","1800","1850000"
"Meera Nagar","1900","2155000"
"Meera Nagar","2100","2450000"
